Subject,Title,Author(s),Edition/Year,Level,Why Recommended,Core Chapters,Problem Sources,Alternative/Supplement,Notes,Status
Quantum Mechanics,Modern Quantum Mechanics,Sakurai & Napolitano,3rd (2021),Graduate,Updated modern pedagogy; good diagrams,Chapters 1-7,150+ problems,Cohen-Tannoudji (more comprehensive); Griffiths (undergraduate),Recently revised (2021). Emphasizes symmetries and group theory early. Excellent.
Thermodynamics & Statistical Mechanics,Fundamentals of Statistical and Thermal Physics,Frederick Reif,1965,Undergrad,Exceptionally clear; conceptual depth; excellent problems,Chapters 1-14,230 problems (well-graded progression),Schroeder (more modern); Landau & Lifshitz Vol. 5 (rigorous),BEST UNDERGRAD TEXT. Despite 1965 publication; clarity unsurpassed. Still in print.
Thermodynamics & Statistical Mechanics,An Introduction to Thermal Physics,Daniel Schroeder,2000,Undergrad,Modern; graphical; energy-first approach,Chapters 1-8,300+ problems,Reif (more rigorous); Kittel & Kroemer (more traditional),Modern alternative to Reif. Less rigorous but highly accessible. Good for engineering context.
Thermodynamics & Statistical Mechanics,Statistical Physics Part 1 (Vol. 5),Landau & Lifshitz,1980,Graduate,Rigorous; minimal; powerful,All chapters (but dense),80 problems (very challenging),Reif (undergrad); Pathria (modern graduate),Graduate reference. Not a primary text but excellent for deep understanding.
Thermodynamics & Statistical Mechanics,Statistical Mechanics,Ryoji Pathria,3rd (2011),Graduate,Modern; comprehensive; excellent problems,Chapters 1-15,300+ problems,Landau & Lifshitz (terse); Reif (undergrad),Standard modern graduate text. Good balance of rigor and readability.
Thermodynamics & Statistical Mechanics,Molecular Driving Forces,Dill & Bromberg,2nd (2011),Undergrad/Grad,Toy model approach; intuition-first,Chapters 1-34,100+ problems and simulations,Reif (more formal); Pathria (more rigorous),Excel at building intuition. Physics through biology applications.
Optics & Photonics,Principles of Optics (Born & Wolf),Max Born Emil Wolf,7th (1999),Advanced Undergrad/Grad,Comprehensive classic; electromagnetic foundation,Chapters 1-17 (selective),100+ problems,Hecht (more accessible); Griffiths Ch. 9 (EM waves intro),The definitive optics reference. Very mathematical. Start with Hecht.
Optics & Photonics,Optics,Eugene Hecht,5th (2017),Undergrad,Modern; visually rich; accessible,Chapters 1-16,500+ problems (wide range),Born & Wolf (rigorous reference); Griffiths (EM waves),Excellent undergraduate text. Recently updated (5th ed). Great figures.
Optics & Photonics,Physics of Light and Optics,BYU Department of Physics,Open Web,Undergrad,Free online; covers geometric and physical optics,All sections; available free,100+ problems with solutions,Hecht (textbook); Born & Wolf (reference),High-quality open-source curriculum from Brigham Young University.
Condensed Matter / Solid State,Introduction to Solid State Physics,Charles Kittel,9th (2018),Undergrad/Grad,Accessible; standard; widely adopted,Chapters 1-17,200+ problems,Ashcroft & Mermin (rigorous); Girvin (modern),Updated 9th edition (2018). Best starting point for undergraduates.
Condensed Matter / Solid State,Solid State Physics,Ashcroft & Mermin,1976,Graduate,Rigorous; comprehensive; mathematically dense,All chapters (selective),150+ problems (challenging),Kittel (more accessible); Girvin (modern perspective),The graduate bible of condensed matter. Still standard despite 1976 publication.
Condensed Matter / Solid State,Modern Condensed Matter Physics,Girvin & Yang,2019,Graduate,Modern approach; emphasizes field theory,Chapters 1-16,100+ problems (integrated),Ashcroft & Mermin (foundational); Altland & Simons (field theoretic),Recently published. Reflects contemporary condensed matter research directions.
Fluid Mechanics,Fluid Mechanics (Volume 6),Landau & Lifshitz,1987,Undergrad/Grad,Classic; rigorous; complete,Chapters 1-16,200+ problems (many deep),Kundu (modern engineering); White (practical),Landau's swan song. Comprehensive but assumes maturity. Physical insight throughout.
Fluid Mechanics,Fluid Mechanics (6th ed),Pijush Kundu et al.,2016,Undergrad/Grad,Modern engineering-physics blend,Chapters 1-16,400+ problems,Landau & Lifshitz (theoretical); Tritton (introductory),Modern alternative. Well-illustrated; more engineering applications.
Special Relativity,Introduction to Special Relativity,Wolfgang Rindler,2nd (1991),Undergrad/Grad,Geometric approach; 4-vector formalism,Chapters 1-11,150 problems,MIT OCW 8.033 (Morin); Purcell & Morin (visual),Excellent grounding in Minkowski geometry. Prepares for general relativity.
Special Relativity,Spacetime and Geometry,Sean Carroll,1997,Undergrad/Grad,Lecture notes; freely available online,All lectures,50+ problems with solutions,Rindler (textbook); Misner-Thorne-Wheeler (GR foundation),Free lecture notes. Concise. Best starting point before tackling full GR.
General Relativity,Lecture Notes on General Relativity,Sean Carroll,1997,Graduate,Modern; concise; freely available,All chapters (online free),50+ problems with solutions,Misner-Thorne-Wheeler (comprehensive); Wald (standard reference),Available free from arXiv (gr-qc/9712019). Best for 1-semester intro.
General Relativity,A First Course in General Relativity,Bernard Schutz,2nd (2009),Undergrad/Early Grad,Pedagogical; geometric intuition,Chapters 1-12,100+ problems,Carroll (more concise); Wald (more rigorous),Excellent for first exposure. Builds intuition before abstract formalism.
General Relativity,General Relativity,Robert Wald,1984,Graduate,Rigorous; standard reference,Chapters 1-16 (selective),80 problems,Carroll (more accessible); Misner-Thorne-Wheeler (comprehensive),The standard graduate reference. Dense but precise.
General Relativity,Gravitation,Misner Thorne Wheeler,1973,Graduate/Advanced,Monumental; comprehensive reference,Chapters 1-44 (selective),800+ problems (integrated),Wald (concise); Carroll (1-semester intro),MTW is massive and expensive but contains everything. Use as reference. Not for sequential reading.
Quantum Field Theory,An Introduction to Quantum Field Theory,Peskin & Schroeder,1995,Graduate,Standard graduate textbook; excellent pedagogy,Chapters 1-22,150+ problems (increasing difficulty),Ryder (alternative approach); Zee (more accessible intro),THE standard QFT textbook. Comprehensive. Most graduate programs use this.
Quantum Field Theory,Quantum Field Theory,Lewis Ryder,1985,Graduate,Alternative approach; good on symmetries,Chapters 1-17,100 problems,Peskin & Schroeder (standard); Srednicki (modern),Well-written alternative. More accessible in places than P&S.
Quantum Field Theory,Quantum Field Theory as Simply as Possible,Anthony Zee,2003,Undergrad/Early Grad,Conceptual; conversational tone; intuitive,All chapters (short),50 problems,Peskin & Schroeder (comprehensive); Ryder (rigorous),Best for conceptual understanding before diving into Peskin.
Quantum Field Theory,Quantum Mechanics & Quantum Field Theory,Brian Hatfield,1992,Graduate,Clear exposition; good on path integrals,Chapters 1-20,100 problems,Peskin & Schroeder (standard); Zee (intuitive),Out of print but available used. Underrated. Excellent on fundamentals.
Computational Physics,Computational Physics,Mark Newman,2013,Undergrad/Grad,Python-based; practical; modern,Chapters 1-16,100+ projects,Numerical Recipes in C++ (comprehensive but less modern),Paired with Python. Free online. Excellent for integrating numerics with physics.
Computational Physics,Numerical Recipes (3rd ed),Press et al.,2007,Reference,Algorithms; implementations in C++; standard reference,Chapters 1-20 (reference use),100+ algorithms,SciPy documentation (Python alternative),Use alongside SciPy for Python. Algorithms are language-independent.
Computational Physics,Numerical Methods in Physics with Python,Alex Gezerlis,2020,Undergrad/Grad,Modern; pedagogical; Python throughout,Chapters 1-12,150+ problems/projects,Newman (alternative approach); Numerical Recipes (language-agnostic),Recent (2020). Excellent balance of theory and implementation.
Mathematical Methods,Tensors and Relativity,Mike Guidry,2013,Graduate,Accessible introduction to tensor calculus,Chapters 1-12,80 problems,Arfken Ch. 2 (more abstract); MTW Ch. 8-9 (in context of GR),Good bridge between vector calculus and tensor formalism.
Group Theory,Group Theory in a Nutshell for Physicists,Anthony Zee,2016,Graduate,Conversational; intuitive; applications first,Chapters 1-10,50+ problems,Arfken Ch. 4 (mathematical); Georgi (particle physics focus),Excellent introduction. Zee's trademark accessible style.
Group Theory,Lie Algebras in Particle Physics,Howard Georgi,2nd (1999),Graduate/Advanced,Particle physics applications; rigorous,Chapters 1-12,100+ problems,Zee (more intuitive); Arfken (abstract mathematics),Standard for particle physics community. Dense but rewarding.
Problem Books / Supplements,200 Puzzling Physics Problems,Gnadig Honyek Riley,2018,Undergrad/Grad,Variety; many non-standard; Olympic-style,All problems (200 total),200 problems with detailed solutions,Irodov (classic but older); Kleppner & Kolenkow problem set,Excellent for deepening problem-solving skills beyond textbook exercises.
Problem Books / Supplements,Problems in General Physics,Igor Irodov,1988,Undergrad/Grad,Classical book; comprehensive coverage,All problems (2000 total),2000 problems (solutions in separate book),Kleppner & Kolenkow; Any modern textbook problem set,Older (1988) but extensive. Good for drilling standard problem types.
Problem Books / Supplements,The Feynman Lectures on Physics (all 3 volumes),Richard Feynman,2011,Undergrad,Unparalleled physical intuition; 60 years of insights,All chapters (selectively),100+ integrated problems,Any modern textbook (systematic approach),Supplement primary texts. Feynman's perspective invaluable.
Laboratory / Experimental,An Introduction to Error Analysis,John Taylor,3rd (2012),Undergrad,Best-practice error analysis; essential for labs,Chapters 1-10,150+ problems with solutions,Hughes & Hase (physics-specific); Bevington & Robinson (more advanced),STANDARD undergraduate lab text. Every physics student should read this.
Laboratory / Experimental,Data Reduction and Error Analysis,Bevington & Robinson,4th (2020),Undergrad/Grad,Statistical methods; practical data analysis,Chapters 1-15,100+ problems with code,Taylor (conceptual intro); Hughes & Hase (specialized topics),Modern (4th ed 2020). Includes Python examples. Better for advanced undergrads/grads.
Laboratory / Experimental,Measurements and their Uncertainties,Hughes & Hase,2010,Undergrad,Physics-specific error propagation,Chapters 1-8,50+ worked examples,Taylor (more accessible); Bevington (more comprehensive),Good for experiments in quantum and solid state contexts.
Online Open Source,MIT OpenCourseWare Physics Courses,Various MIT faculty,Ongoing,Undergrad/Grad,Free access to MIT physics curriculum; full lecture notes + exams,Browse by course number (8.01-8.962),Problem sets + exams with solutions,edX; Coursera; Yale OCW,Exceptional resource. Use to supplement any topic.
Online Open Source,Physics Stack Exchange & PhysicsForums,Community,Ongoing,All levels,Peer Q&A on specific topics; searchable,Browse by tag/topic,1000s of answered questions,Reddit r/Physics; r/PhysicsStudents (less moderated),Use for clarification of concepts; check multiple answers.
